ACTS,REG,Scenario,Year,Value
nuts,FIN,GDPEndoSSP2_noWaste,2017,0.86597865819931
nuts,EST,GDPEndoSSP2_noWaste,2017,3.64489841461182
nuts,DNK,GDPEndoSSP2_noWaste,2017,19.9422969818115
nuts,CZE,GDPEndoSSP2_noWaste,2017,33.4575881958008
nuts,RESTEU,GDPEndoSSP2_noWaste,2017,82.4250259399414
nuts,ITA,GDPEndoSSP2_noWaste,2017,915.287536621094
nuts,BEL,GDPEndoSSP2_noWaste,2017,77.856819152832
nuts,GRC,GDPEndoSSP2_noWaste,2017,347.987579345703
nuts,BGR,GDPEndoSSP2_noWaste,2017,36.8810729980469
nuts,ROU,GDPEndoSSP2_noWaste,2017,126.594131469727
nuts,LVA,GDPEndoSSP2_noWaste,2017,4.16618299484253
nuts,ESP,GDPEndoSSP2_noWaste,2017,833.713989257813
nuts,FRA,GDPEndoSSP2_noWaste,2017,348.780853271484
nuts,SVK,GDPEndoSSP2_noWaste,2017,21.9170417785645
nuts,SWE,GDPEndoSSP2_noWaste,2017,27.4372787475586
nuts,PRT,GDPEndoSSP2_noWaste,2017,303.266540527344
nuts,POL,GDPEndoSSP2_noWaste,2017,73.575798034668
nuts,NLD,GDPEndoSSP2_noWaste,2017,576.894958496094
nuts,LTU,GDPEndoSSP2_noWaste,2017,45.8874931335449
nuts,SVN,GDPEndoSSP2_noWaste,2017,15.2270603179932
nuts,AFR,GDPEndoSSP2_noWaste,2017,2977.63745117188
nuts,TUR,GDPEndoSSP2_noWaste,2017,3868.8291015625
nuts,ZAF,GDPEndoSSP2_noWaste,2017,271.200317382813
nuts,COCOA,GDPEndoSSP2_noWaste,2017,4372.6142578125
nuts,EAS,GDPEndoSSP2_noWaste,2017,7837.212890625
nuts,ME,GDPEndoSSP2_noWaste,2017,8901.51953125
nuts,STAN,GDPEndoSSP2_noWaste,2017,315.627288818359
nuts,CHN,GDPEndoSSP2_noWaste,2017,13005.1240234375
nuts,IND,GDPEndoSSP2_noWaste,2017,5028.3251953125
nuts,JPN,GDPEndoSSP2_noWaste,2017,76.6598358154297
nuts,IDN,GDPEndoSSP2_noWaste,2017,3648.86328125
nuts,MYS,GDPEndoSSP2_noWaste,2017,126.728561401367
nuts,OCE,GDPEndoSSP2_noWaste,2017,1580.18615722656
nuts,GBR,GDPEndoSSP2_noWaste,2017,139.14192199707
nuts,CHE,GDPEndoSSP2_noWaste,2017,14.908652305603
nuts,REUR,GDPEndoSSP2_noWaste,2017,520.715698242188
nuts,NOR,GDPEndoSSP2_noWaste,2017,4.0470929145813
nuts,NAF,GDPEndoSSP2_noWaste,2017,1426.18005371094
nuts,KOR,GDPEndoSSP2_noWaste,2017,394.328643798828
roots,CAN,GDPEndoSSP2_noWaste,2017,441.415344238281
roots,USA,GDPEndoSSP2_noWaste,2017,4084.14428710937
roots,BRA,GDPEndoSSP2_noWaste,2017,3333.85986328125
roots,MEX,GDPEndoSSP2_noWaste,2017,160.93342590332
