Region,Scenario,Sector,outcome,value,adm0_iso
France,Pollination_20perc,Industrials/Transport,abs_change,87.6410758002894,FRA
France,Pollination_20perc,Industrials/Transport,pct_change,3e-4,FRA
France,Pollination_100pc,Oil & Gas,abs_change,19.3318034874018,FRA
France,Pollination_100pc,Oil & Gas,pct_change,0.0024,FRA
France,Pollination_20perc,Oil & Gas,abs_change,3.31837509588149,FRA
France,Pollination_20perc,Oil & Gas,pct_change,4e-4,FRA
France,Pollination_100pc,Processed/packaged food and meats,abs_change,-1302.39270498769,FRA
France,Pollination_100pc,Processed/packaged food and meats,pct_change,-0.0067,FRA
France,Pollination_20perc,Processed/packaged food and meats,abs_change,-226.32225816918,FRA
France,Pollination_20perc,Processed/packaged food and meats,pct_change,-0.0012,FRA
France,Pollination_100pc,Services,abs_change,-3707.02425829088,FRA
France,Pollination_100pc,Services,pct_change,-0.0016,FRA
France,Pollination_20perc,Services,abs_change,-636.53291765647,FRA
France,Pollination_20perc,Services,pct_change,-3e-4,FRA
Germany,Pollination_100pc,Agricultural products,abs_change,-2091.67118757677,DEU
Germany,Pollination_100pc,Agricultural products,pct_change,-0.0301,DEU
Germany,Pollination_20perc,Agricultural products,abs_change,-429.91899635129,DEU
Germany,Pollination_20perc,Agricultural products,pct_change,-0.0062,DEU
Germany,Pollination_100pc,"Apparel, accessories & luxury goods",abs_change,532.710700222116,DEU
Germany,Pollination_100pc,"Apparel, accessories & luxury goods",pct_change,0.0079,DEU
Germany,Pollination_20perc,"Apparel, accessories & luxury goods",abs_change,99.0835792310244,DEU
Germany,Pollination_20perc,"Apparel, accessories & luxury goods",pct_change,0.0015,DEU
Germany,Pollination_100pc,Beverages and tobacco products,abs_change,-151.318306435765,DEU
Germany,Pollination_100pc,Beverages and tobacco products,pct_change,-0.0031,DEU
Germany,Pollination_20perc,Beverages and tobacco products,abs_change,-26.4463903544383,DEU
Germany,Pollination_20perc,Beverages and tobacco products,pct_change,-5e-4,DEU
Germany,Pollination_100pc,Coal & consumable fuels,abs_change,-847.003511411341,DEU
Germany,Pollination_100pc,Coal & consumable fuels,pct_change,-0.0063,DEU
Germany,Pollination_20perc,Coal & consumable fuels,abs_change,-179.611542971484,DEU
Germany,Pollination_20perc,Coal & consumable fuels,pct_change,-0.0013,DEU
Germany,Pollination_100pc,Electricity,abs_change,95.9073706451454,DEU
Germany,Pollination_100pc,Electricity,pct_change,5e-4,DEU
Germany,Pollination_20perc,Electricity,abs_change,15.9414639191236,DEU
Germany,Pollination_20perc,Electricity,pct_change,1e-4,DEU
Germany,Pollination_100pc,Fertilizers,abs_change,30.679539894643298,DEU
Germany,Pollination_100pc,Fertilizers,pct_change,0.0279,DEU
Germany,Pollination_20perc,Fertilizers,abs_change,5.56599624331875,DEU
Germany,Pollination_20perc,Fertilizers,pct_change,0.0051,DEU
Germany,Pollination_100pc,Food services,abs_change,-1825.60670968587,DEU
Germany,Pollination_100pc,Food services,pct_change,-0.0016,DEU
Germany,Pollination_20perc,Food services,abs_change,-302.878758010221,DEU
Germany,Pollination_20perc,Food services,pct_change,-3e-4,DEU
Germany,Pollination_100pc,Forest products,abs_change,139.226208034466,DEU
Germany,Pollination_100pc,Forest products,pct_change,9e-4,DEU
Germany,Pollination_20perc,Forest products,abs_change,24.0304202352126,DEU
Germany,Pollination_20perc,Forest products,pct_change,2e-4,DEU
Germany,Pollination_100pc,Industrials,abs_change,4013.20504275476,DEU
Germany,Pollination_100pc,Industrials,pct_change,0.0016,DEU
Germany,Pollination_20perc,Industrials,abs_change,655.677496031392,DEU
Germany,Pollination_20perc,Industrials,pct_change,3e-4,DEU
Germany,Pollination_100pc,Industrials/Transport,abs_change,86.3608837517094,DEU
Germany,Pollination_100pc,Industrials/Transport,pct_change,2e-4,DEU
Germany,Pollination_20perc,Industrials/Transport,abs_change,-2.39925085561117,DEU
Germany,Pollination_20perc,Industrials/Transport,pct_change,0,DEU
Germany,Pollination_100pc,Oil & Gas,abs_change,16.3308621504438,DEU
Germany,Pollination_100pc,Oil & Gas,pct_change,0.001,DEU
Germany,Pollination_20perc,Oil & Gas,abs_change,2.90253807039334,DEU
Germany,Pollination_20perc,Oil & Gas,pct_change,2e-4,DEU
Germany,Pollination_100pc,Processed/packaged food and meats,abs_change,-1896.95971081467,DEU
Germany,Pollination_100pc,Processed/packaged food and meats,pct_change,-0.0098,DEU
Germany,Pollination_20perc,Processed/packaged food and meats,abs_change,-362.845192838722,DEU
Germany,Pollination_20perc,Processed/packaged food and meats,pct_change,-0.0019,DEU
Germany,Pollination_100pc,Services,abs_change,-429.963299352675,DEU
Germany,Pollination_100pc,Services,pct_change,-2e-4,DEU
Germany,Pollination_20perc,Services,abs_change,-71.4411833109334,DEU
Germany,Pollination_20perc,Services,pct_change,0,DEU
Great Britain,Pollination_100pc,Agricultural products,abs_change,-815.883612253113,GBR
Great Britain,Pollination_100pc,Agricultural products,pct_change,-0.0198,GBR
Great Britain,Pollination_20perc,Agricultural products,abs_change,-185.185778506427,GBR
Great Britain,Pollination_20perc,Agricultural products,pct_change,-0.0045,GBR
Great Britain,Pollination_100pc,"Apparel, accessories & luxury goods",abs_change,266.599116556564,GBR
Great Britain,Pollination_100pc,"Apparel, accessories & luxury goods",pct_change,0.0088,GBR
Great Britain,Pollination_20perc,"Apparel, accessories & luxury goods",abs_change,49.1978526558923,GBR
Great Britain,Pollination_20perc,"Apparel, accessories & luxury goods",pct_change,0.0016,GBR
Great Britain,Pollination_100pc,Beverages and tobacco products,abs_change,50.9177973943951,GBR
Great Britain,Pollination_100pc,Beverages and tobacco products,pct_change,0.001,GBR
Great Britain,Pollination_20perc,Beverages and tobacco products,abs_change,7.19130146061797,GBR
Great Britain,Pollination_20perc,Beverages and tobacco products,pct_change,1e-4,GBR
Great Britain,Pollination_100pc,Coal & consumable fuels,abs_change,-9.40831854284624,GBR
Great Britain,Pollination_100pc,Coal & consumable fuels,pct_change,-1e-4,GBR
Great Britain,Pollination_20perc,Coal & consumable fuels,abs_change,-4.1139380212553,GBR
Great Britain,Pollination_20perc,Coal & consumable fuels,pct_change,-1e-4,GBR
Great Britain,Pollination_100pc,Electricity,abs_change,87.2823767159134,GBR
Great Britain,Pollination_100pc,Electricity,pct_change,8e-4,GBR
Great Britain,Pollination_20perc,Electricity,abs_change,15.2104305694811,GBR
Great Britain,Pollination_20perc,Electricity,pct_change,1e-4,GBR
Great Britain,Pollination_100pc,Fertilizers,abs_change,3.54009646689132,GBR
Great Britain,Pollination_100pc,Fertilizers,pct_change,0.0199,GBR
Great Britain,Pollination_20perc,Fertilizers,abs_change,0.678650323311728,GBR
Great Britain,Pollination_20perc,Fertilizers,pct_change,0.0038,GBR
Great Britain,Pollination_100pc,Food services,abs_change,-673.95694280276,GBR
Great Britain,Pollination_100pc,Food services,pct_change,-6e-4,GBR
Great Britain,Pollination_20perc,Food services,abs_change,-117.818350405665,GBR
Great Britain,Pollination_20perc,Food services,pct_change,-1e-4,GBR
Great Britain,Pollination_100pc,Forest products,abs_change,93.4564351261942,GBR
Great Britain,Pollination_100pc,Forest products,pct_change,0.0013,GBR
Great Britain,Pollination_20perc,Forest products,abs_change,16.5311888197029,GBR
Great Britain,Pollination_20perc,Forest products,pct_change,2e-4,GBR
Great Britain,Pollination_100pc,Industrials,abs_change,1760.6455574641,GBR
Great Britain,Pollination_100pc,Industrials,pct_change,0.0014,GBR
Great Britain,Pollination_20perc,Industrials,abs_change,298.900505116209,GBR
Great Britain,Pollination_20perc,Industrials,pct_change,2e-4,GBR
Great Britain,Pollination_100pc,Industrials/Transport,abs_change,167.842237045115,GBR
Great Britain,Pollination_100pc,Industrials/Transport,pct_change,5e-4,GBR
Great Britain,Pollination_20perc,Industrials/Transport,abs_change,21.2093881751061,GBR
Great Britain,Pollination_20perc,Industrials/Transport,pct_change,1e-4,GBR
Great Britain,Pollination_100pc,Oil & Gas,abs_change,102.301265247864,GBR
Great Britain,Pollination_100pc,Oil & Gas,pct_change,0.0019,GBR
Great Britain,Pollination_20perc,Oil & Gas,abs_change,18.5492019200464,GBR
Great Britain,Pollination_20perc,Oil & Gas,pct_change,3e-4,GBR
Great Britain,Pollination_100pc,Processed/packaged food and meats,abs_change,650.643767125671,GBR
Great Britain,Pollination_100pc,Processed/packaged food and meats,pct_change,0.0055,GBR
Great Britain,Pollination_20perc,Processed/packaged food and meats,abs_change,112.375165336008,GBR
Great Britain,Pollination_20perc,Processed/packaged food and meats,pct_change,0.001,GBR
Great Britain,Pollination_100pc,Services,abs_change,-1432.59549087705,GBR
Great Britain,Pollination_100pc,Services,pct_change,-5e-4,GBR
Great Britain,Pollination_20perc,Services,abs_change,-257.147773234639,GBR
Great Britain,Pollination_20perc,Services,pct_change,-1e-4,GBR
Italy,Pollination_100pc,Agricultural products,abs_change,-4256.80513908017,ITA
Italy,Pollination_100pc,Agricultural products,pct_change,-0.0625,ITA
Italy,Pollination_20perc,Agricultural products,abs_change,-834.862027219438,ITA
Italy,Pollination_20perc,Agricultural products,pct_change,-0.0123,ITA
Italy,Pollination_100pc,"Apparel, accessories & luxury goods",abs_change,1832.05836244461,ITA
Italy,Pollination_100pc,"Apparel, accessories & luxury goods",pct_change,0.0153,ITA
Italy,Pollination_20perc,"Apparel, accessories & luxury goods",abs_change,325.712051168608,ITA
Italy,Pollination_20perc,"Apparel, accessories & luxury goods",pct_change,0.0027,ITA
Italy,Pollination_100pc,Beverages and tobacco products,abs_change,-412.376192154773,ITA
Italy,Pollination_100pc,Beverages and tobacco products,pct_change,-0.0134,ITA
Italy,Pollination_20perc,Beverages and tobacco products,abs_change,-70.6687712866078,ITA
Italy,Pollination_20perc,Beverages and tobacco products,pct_change,-0.0023,ITA
Italy,Pollination_100pc,Coal & consumable fuels,abs_change,-77.5903785796108,ITA
Italy,Pollination_100pc,Coal & consumable fuels,pct_change,-0.0011,ITA
